"title","url","source","type"
"国务院办公厅关于同意河北、浙江、湖北省开展行政备案规范管理改革试点的复函","https://www.gov.cn/zhengce/content/2021-07/07/content_5623007.htm","国务院-复函","提案答复函"
"关于商请协助推荐生态环境科技帮扶专家的函","https://www.mee.gov.cn/xxgk2018/xxgk/xxgk06/202107/t20210722_849541.html","生态环境部-商洽函","提案答复函"
"对十三届全国人大五次会议第0461号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346318.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第1166号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346319.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第1434号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346320.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第3134号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346321.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第3267号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346322.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第3462号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346323.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第4719号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346324.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第6959号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346325.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第8319号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346326.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第1847号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346328.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第2303号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346329.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第7289号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346332.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第7838号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346333.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第8679号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230111_1346334.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第6257号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346394.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第3193号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346398.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第8333号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346402.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第0053号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346409.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第0269号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346411.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第1002号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346414.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第1420号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346415.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第1576号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346417.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第2148号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346419.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第2663号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346420.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第3207号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346422.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第4335号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346424.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第4407号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346426.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第4694号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346427.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第4724号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346428.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第5763号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346429.html","NDRC-人大代表建议复文","建议答复函"
"对十三届全国人大五次会议第6229号建议的答复","https://www.ndrc.gov.cn/xxgk/jianyitianfuwen/qgrddbjyfwgk/202301/t20230112_1346430.html","NDRC-人大代表建议复文","建议答复函"
